id,slug,pet_number,species,breed,age,age_unit,sex,reproductive_status,color,source,image_path,created_at,updated_at
1,feline-puspin-1743221604-0q1c2,1,feline,puspin,1,years,female,unknown,tri-color,rescued,pet-images/pet1_20250329121323.jpg,2025-03-29 12:13:24,2025-03-29 12:34:45
2,feline-puspin-1743221743-kqnz6,3,feline,puspin,1,years,female,unknown,white,rescued,pet-images/pet3_20250329121543.jpg,2025-03-29 12:15:43,2025-03-29 12:15:43
3,feline-puspin-1743222783-4i2nk,4,feline,puspin,9,months,female,unknown,tri-color,rescued,pet-images/pet4_20250329123303.jpg,2025-03-29 12:33:03,2025-03-29 12:34:23
4,feline-puspin-1743222814-zcjid,5,feline,puspin,2,years,female,unknown,tri-color,rescued,pet-images/pet5_20250329123334.jpg,2025-03-29 12:33:34,2025-03-29 12:33:34
5,feline-puspin-1743222937-ctyrn,6,feline,puspin,1,years,male,unknown,bi-color,rescued,pet-images/pet6_20250329123537.jpg,2025-03-29 12:35:37,2025-03-29 12:35:37
6,feline-puspin-1743223216-g7uuc,7,feline,puspin,2,years,female,unknown,bi-color,rescued,pet-images/pet7_20250329124016.jpg,2025-03-29 12:40:16,2025-03-29 12:40:16
7,feline-puspin-1743223247-fsofq,8,feline,puspin,2,years,male,unknown,orange,rescued,pet-images/pet8_20250329124047.jpg,2025-03-29 12:40:47,2025-03-29 12:40:47
8,feline-puspin-1743223347-53gwd,10,feline,puspin,1,years,male,unknown,orange,rescued,pet-images/pet10_20250329124227.jpg,2025-03-29 12:42:27,2025-03-29 12:43:48
9,feline-puspin-1743223450-q4mmr,12,feline,puspin,8,months,male,unknown,bi-color,rescued,pet-images/pet12_20250329124410.jpg,2025-03-29 12:44:10,2025-03-29 12:44:10
10,feline-puspin-1743223495-g2xij,13,feline,puspin,1,years,male,unknown,tabby,rescued,pet-images/pet13_20250329124455.jpg,2025-03-29 12:44:55,2025-03-29 12:44:55
