id,slug,pet_number,pet_name,species,age,age_unit,sex,reproductive_status,color,source,image_path,created_at,updated_at
1,feline-puspin-1743221604-0q1c2,1,N/A,feline,1,years,female,unknown,tri-color,rescued,pet-images/pet1_20250329121323.jpg,29/03/2025 12:13,29/03/2025 12:34
2,feline-puspin-1743221743-kqnz6,3,N/A,feline,1,years,female,unknown,white,rescued,pet-images/pet3_20250329121543.jpg,29/03/2025 12:15,29/03/2025 12:15
3,feline-puspin-1743222783-4i2nk,4,N/A,feline,9,months,female,unknown,tri-color,rescued,pet-images/pet4_20250329123303.jpg,29/03/2025 12:33,04/04/2025 22:09
4,feline-puspin-1743222814-zcjid,5,N/A,feline,2,years,female,unknown,tri-color,rescued,pet-images/pet5_20250329123334.jpg,29/03/2025 12:33,29/03/2025 12:33
5,feline-puspin-1743222937-ctyrn,6,N/A,feline,1,years,male,unknown,bi-color,rescued,pet-images/pet6_20250329123537.jpg,29/03/2025 12:35,29/03/2025 12:35
6,feline-puspin-1743223216-g7uuc,7,N/A,feline,2,years,female,unknown,bi-color,rescued,pet-images/pet7_20250329124016.jpg,29/03/2025 12:40,29/03/2025 12:40
7,feline-puspin-1743223247-fsofq,8,N/A,feline,2,years,male,unknown,orange,rescued,pet-images/pet8_20250329124047.jpg,29/03/2025 12:40,29/03/2025 12:40
8,feline-puspin-1743223347-53gwd,10,N/A,feline,1,years,male,unknown,orange,rescued,pet-images/pet10_20250329124227.jpg,29/03/2025 12:42,29/03/2025 12:43
9,feline-puspin-1743223450-q4mmr,12,N/A,feline,8,months,male,unknown,bi-color,rescued,pet-images/pet12_20250329124410.jpg,29/03/2025 12:44,29/03/2025 12:44
10,feline-puspin-1743223495-g2xij,13,N/A,feline,1,years,male,unknown,tabby,rescued,pet-images/pet13_20250329124455.jpg,29/03/2025 12:44,01/04/2025 17:22
23,feline-puspin-1743498669-isdw6,14,N/A,feline,10,months,female,unknown,brindle,rescued,pet-images/pet14_20250401171109.jpg,01/04/2025 17:11,01/04/2025 19:38
24,feline-puspin-1743498751-hievc,15,N/A,feline,1,years,male,unknown,orange,rescued,pet-images/pet15_20250401171231.jpg,01/04/2025 17:12,01/04/2025 17:13
